0	0.7578
0.000111235	0.7255
0.000222469	0.7502
0.000333704	0.7867
0.000444939	0.7888
0.000556174	0.7848
0.000667408	0.7603
0.000778643	0.7702
0.000889878	0.7648
0.00100111	0.7517
0.00111235	0.7465
0.00122358	0.7366
0.00133482	0.7353
0.00144605	0.7417
0.00155729	0.7408
0.00166852	0.7691
0.00177976	0.7552
0.00189099	0.7352
0.00200222	0.7951
0.00211346	0.8393
0.00222469	0.8736
0.00233593	0.8778
0.00244716	0.8569
0.0025584	0.8185
0.00266963	0.8065
0.00278087	0.8319
0.0028921	0.8133
0.00300334	0.7419
0.00311457	0.6905
0.00322581	0.6657
0.00333704	0.6438
0.00344828	0.6308
0.00355951	0.6276
0.00367075	0.6261
0.00378198	0.6248
0.00389321	0.6233
0.00400445	0.6234
0.00411568	0.6316
0.00422692	0.6499
0.00433815	0.6561
0.00444939	0.632
0.00456062	0.6243
0.00467186	0.6195
0.00478309	0.6262
0.00489433	0.656
0.00500556	0.661
0.0051168	0.6657
0.00522803	0.6549
0.00533927	0.6766
0.0054505	0.7084
0.00556174	0.7478
0.00567297	0.7536
0.0057842	0.774
0.00589544	0.7771
0.00600667	0.7597
0.00611791	0.7423
0.00622914	0.7256
0.00634038	0.7173
0.00645161	0.7158
0.00656285	0.6982
0.00667408	0.6887
0.00678532	0.6932
0.00689655	0.6945
0.00700779	0.7124
0.00711902	0.7335
0.00723026	0.7451
0.00734149	0.709
0.00745273	0.695
0.00756396	0.7127
0.00767519	0.7042
0.00778643	0.7012
0.00789766	0.7117
0.0080089	0.7451
0.00812013	0.7569
0.00823137	0.7786
0.0083426	0.8091
0.00845384	0.806
0.00856507	0.8193
0.00867631	0.8498
0.00878754	0.8536
0.00889878	0.8537
0.00901001	0.8674
0.00912125	0.8603
0.00923248	0.8533
0.00934372	0.8473
0.00945495	0.853
0.00956618	0.853
0.00967742	0.8627
0.00978865	0.8728
0.00989989	0.8789
0.0100111	0.8474
0.0101224	0.7812
0.0102336	0.7616
0.0103448	0.7525
0.0104561	0.7516
0.0105673	0.7696
0.0106785	0.8307
0.0107898	0.8732
0.010901	0.921
0.0110122	0.932
0.0111235	0.9341
0.0112347	0.9314
0.0113459	0.9164
0.0114572	0.9094
0.0115684	0.9361
0.0116796	0.923
0.0117909	0.9351
0.0119021	0.9375
0.0120133	0.9475
0.0121246	0.9401
0.0122358	0.917
0.0123471	0.9076
0.0124583	0.8993
0.0125695	0.8801
0.0126808	0.8904
0.012792	0.9096
0.0129032	0.8757
0.0130145	0.8736
0.0131257	0.8848
0.0132369	0.9137
0.0133482	0.9547
0.0134594	1.0086
